idx,영화제목,가격,할인된 가격,링크
161,원스 어폰 어 타임 인 아메리카,할인하지 않는 영화입니다.,"₩1,200",/store/movies/details/%EC%9B%90%EC%8A%A4_%EC%96%B4%ED%8F%B0_%EC%96%B4_%ED%83%80%EC%9E%84_%EC%9D%B8_%EC%95%84%EB%A9%94%EB%A6%AC%EC%B9%B4?id=zkUdi2-n8b8.P
162,미션 임파서블: 폴아웃 (자막판),할인하지 않는 영화입니다.,"₩1,800",/store/movies/details/%EB%AF%B8%EC%85%98_%EC%9E%84%ED%8C%8C%EC%84%9C%EB%B8%94_%ED%8F%B4%EC%95%84%EC%9B%83_%EC%9E%90%EB%A7%89%ED%8C%90?id=2Sun2DShyrI
163,대부2,할인하지 않는 영화입니다.,"₩1,000",/store/movies/details/%EB%8C%80%EB%B6%802?id=MhEbVQ-TsGU
164,쥬만지 : 넥스트 레벨  Jumanji: The Next Level,할인하지 않는 영화입니다.,"₩1,800",/store/movies/details/%EC%A5%AC%EB%A7%8C%EC%A7%80_%EB%84%A5%EC%8A%A4%ED%8A%B8_%EB%A0%88%EB%B2%A8_Jumanji_The_Next_Level?id=zEzjZ70gyNQ.P
165,라스트 크리스마스,할인하지 않는 영화입니다.,"₩1,000",/store/movies/details/%EB%9D%BC%EC%8A%A4%ED%8A%B8_%ED%81%AC%EB%A6%AC%EC%8A%A4%EB%A7%88%EC%8A%A4?id=8s3wtUsoFcE.P
166,블라인드 사이드,할인하지 않는 영화입니다.,"₩1,200",/store/movies/details/%EB%B8%94%EB%9D%BC%EC%9D%B8%EB%93%9C_%EC%82%AC%EC%9D%B4%EB%93%9C?id=mLbYf39tXAU
167,트롤,할인하지 않는 영화입니다.,"₩1,000",/store/movies/details/%ED%8A%B8%EB%A1%A4?id=D5GuvkT9ODI.P
168,슈퍼 소닉,할인하지 않는 영화입니다.,"₩1,800",/store/movies/details/%EC%8A%88%ED%8D%BC_%EC%86%8C%EB%8B%89?id=Klddyx4Xnc0.P
169,코드기아스: 부활의 를르슈_자막,할인하지 않는 영화입니다.,"₩2,500",/store/movies/details/%EC%BD%94%EB%93%9C%EA%B8%B0%EC%95%84%EC%8A%A4_%EB%B6%80%ED%99%9C%EC%9D%98_%EB%A5%BC%EB%A5%B4%EC%8A%88_%EC%9E%90%EB%A7%89?id=RDHOjjIzUKU.P
170,Ocean's 8 (자막판),할인하지 않는 영화입니다.,"₩1,200",/store/movies/details/Ocean_s_8_%EC%9E%90%EB%A7%89%ED%8C%90?id=hoDcwLB-nYI
